tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::9::가::1),newgrowth,융복합소재,가. 고기능섬유,1),탄소섬유복합재의 가공장비 및 검사장비 설계ㆍ제조기술,"탄소섬유복합재 부품가공을 위한 복합 가공장비[관련되는 공구, 부품 고정을 위한 유연지그, 공정 모니터링 센서모듈 및 컴퓨터 수치제어기(CNC, Computerized Numerical Controller) 등을 포함한다] 설계ㆍ제조기술 및 탄소섬유복합재 가공 품질 검사를 위한 검사장비 설계ㆍ제조기술"
newgrowth::9::가::2),newgrowth,융복합소재,가. 고기능섬유,2),극한성능 섬유 제조 기술,"고탄성ㆍ고강도 탄소섬유 또는 섬유용 CNT(Carbon Nano Tube, 탄소나노튜브)의 제조 기술과 고탄성ㆍ고강도ㆍ고내열성(250℃ 이상)ㆍ고내한성(-153℃∼-273℃) 아라미드(Aramid)ㆍ초고분자량폴리에틸렌(UHMWPE)ㆍ액정섬유의 제조 기술 및 이들의 복합화 설계를 통한 초경량ㆍ고탄성ㆍ고강도ㆍ고내열(한)성 섬유복합체 제조 기술"
newgrowth::9::가::3),newgrowth,융복합소재,가. 고기능섬유,3),섬유기반 전기전자 소재ㆍ부품 및 제품 제조 기술,"전기 또는 광 신호의 생산, 저장 또는 전달이 가능한 전도성 섬유를 가공ㆍ변형하여 트랜지스터, 저항, 콘덴서, 안테나 등의 전자회로 소자를 직물 형태로 구현하는 기술"
newgrowth::9::가::4),newgrowth,융복합소재,가. 고기능섬유,4),의료용 섬유 제조 기술,"생체적합성(생체재료가 생체조직이나 체액ㆍ혈액 등과 접촉시 거부반응이 나타나지 않는 특성)과 생체기능성(생체재료가 체내에서 존재하는 동안 목표한 기능을 완전히 수행 가능한 특성)을 갖춘 의료용 섬유 제조기술로서, 약물전달용 나노섬유 소재, 바이러스ㆍ세균 감응섬유구조체, 혈액의 투석ㆍ정화용 섬유구조체, 손상조직을 대체 가능한 섬유구조체 또는 꼬이지 않고 계속되는 수축ㆍ팽창에 견딜 수 있는 인공혈관 섬유구조체의 제조 기술"
newgrowth::9::가::5),newgrowth,융복합소재,가. 고기능섬유,5),친환경섬유 제조 기술,"환경친화적 섬유 원료를 사용한 섬유 제조기술로서 생분해성 섬유고분자 제조 및 분해성 제어 기술, 열가소성 셀룰로오스 섬유 제조 기술, 바이오매스 나노섬유 제조 기술"
newgrowth::9::가::6),newgrowth,융복합소재,가. 고기능섬유,6),PTFE(PolyTetraFluoro Ethylene) 멤브레인 기반 고성능 복합필터 제조기술,공기 중의 0.3um 크기의 입자 99.97% 이상을 균일하게 포집할 수 있는 PTFE 멤브레인 기반의 고성능 복합필터 핵심 소재ㆍ부품 관련 제조ㆍ가공 기술
newgrowth::9::가::7),newgrowth,융복합소재,가. 고기능섬유,7),특수계면활성제 제조 기술,"전자부품 제조 공정용으로 사용되는 저표면에너지(24∼27 mN/m, 0.1% solution/PGMEA), 극미량의 금속함유량(100ppb 이하) 특성을 지닌 불소계 계면활성제 및 도료 및 포소화제의 기능향상을 위한 첨가제 등으로 사용되는 저표면에너지(15∼18 mN/m, 0.1% 수용액), 극미량의 PFOA 함유량(1ppm 미만) 특성을 지닌 불소계 계면활성제 제조 기술"
newgrowth::9::가::8),newgrowth,융복합소재,가. 고기능섬유,8),극세 장섬유 부직포 및 복합필터 제조기술,유해물질을 여과ㆍ분리ㆍ차단하는 1㎛이하 극세 장섬유 부직포 제조기술과 HEPA(High Efficiency Particulate Air)급 이상의 고성능 정밀여과 복합필터 제조 기술
newgrowth::9::나::1),newgrowth,융복합소재,나. 초경량 금속,1),고강도 마그네슘 부품의 온간성형기술,미세조직 구성인자의 제어와 성형기법의 개선을 통해 저온(150℃ 이하)에서 성형 가능한 고품위ㆍ고강도 Mg(마그네슘) 부품 제조 기술
newgrowth::9::나::2),newgrowth,융복합소재,나. 초경량 금속,2),차세대 조명용 고효율 경량 방열부품 생산기반기술,"알루미늄 등 경량소재를 이용하여 주조, 성형 및 표면처리를 통해 방열 부품을 제조함으로써 고열전도도, 열확산능, 친환경 특성 등의 기능을 갖게 하는 기술"
