tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::13::가::1),newgrowth,첨단 소재ㆍ부품ㆍ장비,가. 첨단 소재,1),고기능성 알루미늄 도금강판 제조 기술,"550℃에서 200시간 유지 가능한 내열성과 SST 2400(KSD9502)시간 보증 가능한 내식성이 우수한 고성능 알루미늄 도금강판 개발을 위한 조성개발, 고온성형성 향상 기술, 특수 용접기술 등의 제조기술"
newgrowth::13::가::10),newgrowth,첨단 소재ㆍ부품ㆍ장비,가. 첨단 소재,10),고규소 함량 저철손 전기강판 제조기술,규소 원소를 강중에 침투시켜 고규소(Si 함량 4~7%) 저철손 특성을 보유한 전기강판을 제조하는 기술
newgrowth::13::가::11),newgrowth,첨단 소재ㆍ부품ㆍ장비,가. 첨단 소재,11),기능화 그래핀 기반 차세대 전자소자ㆍ에너지시스템용 복합소재 제조ㆍ공정기술,"10층 이하 기능화 그래핀을 기반으로 초격차 고용량, 고신뢰성, 장수명 특성을 구현하는 전자소자ㆍ에너지저장장치용 융복합 첨단소재 제조ㆍ공정기술"
newgrowth::13::가::12),newgrowth,첨단 소재ㆍ부품ㆍ장비,가. 첨단 소재,12),고성능 실리카 에어로겔 단열재 제조 기술,500℃에서 43mW/mK 이하의 열전도도[에어로겔 밀도(섬유 제외) 70kg/m³ 이상 120kg/m³ 이하]를 갖는 고단열 소재 제조 기술
newgrowth::13::가::13),newgrowth,첨단 소재ㆍ부품ㆍ장비,가. 첨단 소재,13),MLCC용 초미세 니켈 나노분말 및 내부전극용 나노 페이스트 제조 기술,"초소형, 초고용량 MLCC용 80nm 이하급 초미세 니켈 나노분말 합성 및 초박층 내부전극용 초미세 니켈 페이스트 제조 기술"
newgrowth::13::가::2),newgrowth,첨단 소재ㆍ부품ㆍ장비,가. 첨단 소재,2),고순도 산화알루미늄 제조기술,"순도 99.9% 이상의 산화알루미늄 분말 제조를 위한 합성, 가공, 고순도화, 고밀도화 등의 제조기술"
newgrowth::13::가::3),newgrowth,첨단 소재ㆍ부품ㆍ장비,가. 첨단 소재,3),거리감지센서용 압전결정소자 및 초음파 트랜스듀서 기술,거리감지센서 등에 사용되는 압전결정소자 및 초음파 트랜스듀서 설계ㆍ제조기술
newgrowth::13::가::4),newgrowth,첨단 소재ㆍ부품ㆍ장비,가. 첨단 소재,4),고기능성 인조흑연 제조기술,"인조흑연 제조용 피치 및 코크스 제조 기술, 전극봉ㆍ등방블록ㆍ흑연분말 성형 및 2,800℃ 이상의 열처리를 통한 흑연화 기술"
newgrowth::13::가::5),newgrowth,첨단 소재ㆍ부품ㆍ장비,가. 첨단 소재,5),고효율ㆍ고용량 이차전지 음극재 제조 기술,"나노 실리콘 결정크기(5nm 이하) 제어 및 카본코팅을 통해 부피팽창 문제 해결과 고효율(88% 이상), 고용량(1800mAh/g 이상) 음극재를 구현하는 소재 기술"
newgrowth::13::가::6),newgrowth,첨단 소재ㆍ부품ㆍ장비,가. 첨단 소재,6),전극용 탄소나노튜브 제조 및 이를 활용한 도전재 제조 공정 기술,"비철계 촉매를 사용하여 전도성이 우수한 전극용 탄소나노튜브(CNT, Carbon Nanotube)를 제조하는 기술 및 CNT를 활용하여 열화 현상을 줄이고 용량 및 수명을 개선한 도전재를 제조하는 공정 기술"
