id,strategic_sector,strategic_apply_date,strategic_tech_name,newgrowth_sector,newgrowth_subsector,newgrowth_apply_date,newgrowth_tech_name
1,반도체,2022-01-01,차세대 디지털기기 SoC 설계ㆍ제조기술,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,2019-01-01,초소형ㆍ초저전력 IoTㆍ웨어러블 SoC 설계ㆍ제조 기술
2,반도체,2022-01-01,"에너지효율향상 전력 및 전력관리 반도체[BCDMOS(Bipolar-CMOS-DMOS), UHV(Ultra High Voltage), 고전압 아날로그 IC(Integrated Circuit), PMIC(Power Management IC)] 설계ㆍ제조기술(0.35㎛이하)",차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,2021-01-01,에너지효율향상 전력 반도체 BCDMOS(Bipolar /Complementary/Double-diffused metal-oxide-semiconductor) 설계ㆍ제조 기술
3,반도체,2022-01-01,차세대 디지털기기ㆍ차량용 디스플레이 반도체 설계ㆍ제조기술,차세대전자정보 디바이스,나. 반도체 등 소재ㆍ부품,2020-01-01,"플렉서블 디스플레이 패널, 차세대 차량용 디스플레이 패널용 DDI 칩(Display Driver IC) 설계 및 제조 기술"
4,반도체,2022-01-01,SoC 반도체 개발ㆍ양산 위한 파운드리 분야 7nm 이하급 제조공정 및 공정 설계기술,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,2019-01-01,"SoC 파운드리 제조, 후공정 및 장비 설계ㆍ제조 기술"
5,반도체,2022-01-01,반도체용 실리콘 기판 및 화합물 기판 개발 및 제조기술,차세대전자정보 디바이스,나. 반도체 등 소재ㆍ부품,2020-01-01,반도체용 기판 개발 및 제조기술
6,반도체,2022-01-01,"첨단 메모리반도체 및 차세대 메모리반도체, SoC 반도체 파운드리 소재ㆍ장비ㆍ장비부품 설계ㆍ제조기술",차세대전자정보 디바이스,나. 반도체 등 소재ㆍ부품,2020-01-01,첨단 메모리반도체 장비 및 장비부품의 설계ㆍ제조 기술
7,이차전지,2022-01-01,고에너지밀도 이차전지 팩 제조기술,에너지ㆍ환경,가. 에너지 저장 시스템(ESS: Energy Storage System),2022-01-01,전기동력 자동차의 에너지저장 시스템 기술
8,이차전지,2022-01-01,사용후 배터리 평가 및 선별 기술,에너지ㆍ환경,가. 에너지 저장 시스템(ESS: Energy Storage System),2021-01-01,배터리 재사용ㆍ재제조를 위한 선별 기술
9,이차전지,2025-01-01,양극재용 고순도 금속 화합물 제조ㆍ가공기술,첨단 소재ㆍ부품ㆍ장비,가. 첨단 소재,2024-01-01,고순도 리튬화합물 제조 기술
10,디스플레이,2023-01-01,AMOLED 패널 설계ㆍ제조ㆍ공정ㆍ모듈ㆍ구동 기술,차세대전자정보 디바이스,다. 유기발광 다이오드(OLED: Organic Light Emitting Diode) 등 고기능 디스플레이,2019-01-01,9인치 이상 능동형 유기발광 다이오드(AMOLED: Active Matrix Organic Light Emitting Diode) 패널 기능개선 및 부품ㆍ소재ㆍ장비 제조 기술
11,인공지능,2025-01-01,저전력ㆍ고효율 컴퓨팅 기술,지능정보,가. 인공지능,2017-01-01,인지컴퓨팅 기술
