index,sector_number,sector_name,item_no,tech_name,facility_description,version,apply_date,status,current,note
1,1,반도체,가.,첨단 메모리 반도체 설계ㆍ제조 기술,16nm 이하급 D램 및 128단 이상 낸드플래시 메모리 제조 시설,220318,2021-07-01,신설,True,
2,1,반도체,나.,"차세대 메모리반도체(STT-MRAM, PRAM, ReRAM) 제조기술","기존 메모리반도체인 D램(DRAM)과 낸드 플래시메모리(Nand Flash Memory)의 장점을 조합한 STT-MRAM(Spin Transfer Torque-Magnetic Random Access Memory), PRAM(Phase-change Random Access Memory), ReRAM(Resistive Random Access Memory) 등 차세대 메모리반도체 제조 시설",220318,2021-07-01,신설,False,
3,1,반도체,나.,"차세대 메모리반도체(STT-MRAM, PRAM, ReRAM, PIM) 설계ㆍ제조기술","기존 메모리반도체인 D램(DRAM)과 낸드 플래시메모리(Nand Flash Memory)의 장점을 조합한 STT-MRAM(Spin Transfer Torque-Magnetic Random Access Memory), PRAM(Phase-change Random Access Memory), ReRAM(Resistive Random Access Memory), 초거대 AI 응용을 위해 CPU와 메모리 간의 병목현상 해결을 목적으로 메모리반도체에 전용 AI 프로세서를 추가한 메모리시스템인 PIM(Processing In memory) 등 차세대 메모리반도체 제조 시설",230320,2023-01-01,변경,False,
4,1,반도체,나.,"차세대 메모리반도체(STT-MRAM, PRAM, ReRAM, PIM, HBM, LLC, CXL, SOM) 설계ㆍ제조기술","기존 메모리반도체인 D램(DRAM)과 낸드 플래시메모리(Nand Flash Memory)의 장점을 조합한 STT-MRAM(Spin Transfer Torque-Magnetic Random Access Memory), PRAM(Phase-change Random Access Memory), ReRAM(Resistive Random Access Memory), 초거대 AI 응용을 위해 CPU와 메모리 간의 병목현상 해결을 목적으로 메모리반도체에 전용 AI 프로세서를 추가한 메모리시스템인 PIM(Processing In Memory), HBM(High Bandwidth Memory), LLC(Last Level Cache), CXL(Compute eXpress Link), SOM(Selector Only Memory) 등 차세대 메모리반도체 제조 시설",240322,2024-01-01,변경,True,
5,1,반도체,다.,차세대 디지털기기 SoC 설계ㆍ제조기술,"IoT, 착용형 스마트 단말기기, 가전, 의료기기 및 핸드폰 등 차세대 디지털 기기 SoC의 주파수 조정 기능 반도체(RF switch 등 RF반도체), 디지털ㆍ아날로그 신호의 데이터 변환 반도체(인버터/컨버터, Mixed signal 반도체 등), 메모리반도체와의 원칩화를 통한 컨트롤 IC(eNVM) 및 IoT 지능형 서비스를 적용하기 위한 지능정보 및 데이터의 처리가 가능한 IoT‧웨어러블 SoC(System on Chip)의 제조 시설",220318,2021-07-01,신설,True,
6,1,반도체,라.,고성능 마이크로 센서의 설계‧제조‧패키징 기술,"물리적ㆍ화학적인 아날로그(analogue) 정보를 얻는 감지부와 논리ㆍ판단ㆍ통신기능을 갖춘 지능화된 신호처리 집적회로가 결합된 소자로서 나노기술, MEMS[Micro Electro Mechanical System, 기계부품ㆍ센서(sensor)ㆍ액츄에이터(actuator) 및 전자회로를 하나의 기판 위에 집적화)] 기술, 바이오 기술, 0.8㎛이하 CMOS 이미지센서 기술 또는 SoC(System on Chip) 기술이 결합된 고성능 센서 및 칩 패키지를 제조하는 시설",220318,2021-07-01,신설,True,
7,1,반도체,마.,차량용 반도체 설계ㆍ제조기술,"자동차 기능안전성 국제표준 ISO26262 및 자동차용 반도체 신뢰성 시험규격 ACE-Q100을 만족하는 MCU(Micro controller unit), ECU(Electronic control unit), 파워IC, SoC, 전기자동차, 하이브리드자동차 및 자율주행용 IC 반도체의 제조 시설",220318,2021-07-01,신설,False,
8,1,반도체,마.,차량용 반도체 설계ㆍ제조기술,"자동차 기능안전성 국제표준 ISO26262 및 자동차용 반도체 신뢰성 시험규격 AEC-Q100을 만족하는 MCU(Micro controller unit), ECU(Electronic control unit), 파워IC, SoC, 전기자동차, 하이브리드자동차 및 자율주행용 IC 반도체의 제조 시설",230320,2023-01-01,변경,True,
9,1,반도체,바.,에너지효율향상 반도체 설계‧제조 기술,"에너지효율향상 반도체 설계‧제조 기술: 저저항ㆍ고효율 특성을 지니며 차세대 응용 분야(전기자동차, 하이브리드자동차, 태양광/풍력발전 등 신재생에너지, 스마트그리드 등) 에 탑재되는 실리콘 기반의 에너지효율향상 반도체(SJ(Super Junction) MOSFET, IGBT, 화합물(SiC, GaN, Ga2O3) 기반의 에너지효율향상 반도체(MOSFET, IGBT) 및 모듈의 제조 시설",220318,2021-07-01,신설,False,
10,1,반도체,바.,에너지효율향상 반도체 설계ㆍ제조ㆍ패키징 기술,"저저항ㆍ고효율 특성을 지니며 차세대 응용 분야(전기자동차, 하이브리드자동차, 태양광/풍력발전 등 신재생에너지, 스마트그리드 등) 에 탑재되는 실리콘 기반의 에너지효율향상 반도체[SJ(Super Junction) MOSFET, IGBT], 화합물(SiC, GaN, Ga2O3) 기반의 에너지효율향상 반도체(MOSFET, IGBT) 및 모듈의 제조ㆍ패키징 시설",260320,2026-01-01,변경,True,
