tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::10::가::1),newgrowth,로봇,가. 첨단제조 및 산업로봇,1),고청정 환경 대응 반도체 생산 로봇 기술,"청정환경에서 450mm 대형 웨이퍼, 일반 반도체를 핸들링하며 5Port 이상 대응 가능(수평 이송범위 2,100mm 이상 및 수직 이송범위 900mm 이상)한 청정환경용 반도체 로봇 기술과 10나노급 초정밀 공정용 초정밀 매니퓰레이션 기술, 대형 웨이퍼 핸들링을 위한 진동 억제 기술"
newgrowth::10::가::2),newgrowth,로봇,가. 첨단제조 및 산업로봇,2),차세대 태양전지(Solar cell) 제조 로봇 기술,고진공/고청정 환경의 태양전지 생산 현장에서 대면적ㆍ고중량 기판을 핸들링할 수 있는 로봇의 설계ㆍ제조 기술
newgrowth::10::가::3),newgrowth,로봇,가. 첨단제조 및 산업로봇,3),실내외 자율 이동ㆍ작업수행 로봇 기술,"광범위 거리측정센서, GPS 등을 활용하여 실내외 환경에서 경로를 계획하여 이동하고(미리 정해진 경로를 따라 이동하는 방식은 제외한다), 자율적으로 작업을 수행하는 지능형 로봇 및 기계 기술"
newgrowth::10::가::4),newgrowth,로봇,가. 첨단제조 및 산업로봇,4),FPD(Flat panel display) 이송로봇 기술,일반 대기압 또는 진공 환경 하에서 고중량(400kg 이상)의 FPD 및 마스크를 이송하는 로봇 설계ㆍ제조 기술
newgrowth::10::가::5),newgrowth,로봇,가. 첨단제조 및 산업로봇,5),협동기반 차세대 제조로봇 기술,"사용자와 같은 공간에서 협업이 가능한 초소형(가반하중 1kg 미만) 및 중대형(가반하중 25kg 이상) 로봇, 첨단 안전기술(PL e, Cat 4 또는 이와 동일한 수준의 안전등급 이상)이 탑재된 로봇 또는 7축 이상의 다관절 로봇을 설계ㆍ제조ㆍ제어하는 기술"
newgrowth::10::가::6),newgrowth,로봇,가. 첨단제조 및 산업로봇,6),용접로봇 기술,"생산과정 내 용접 공정의 자동화 및 용접 품질관리를 위한 6축 이상의 용접용 수직다관절로봇, 용접전원장치, 용접용센서 설계ㆍ제조 기술"
newgrowth::10::나::1),newgrowth,로봇,나. 안전로봇,1),"감시경계용 서비스로봇을 위한 주변환경 센싱 기술, 실내외 전천후 위치인식 및 주행 기술","실내외에서 외부 환경을 인식하고 이를 바탕으로 감시 경계 업무를 수행하기 위해 외부 환경에 강인한 센서융합, 위치인식, 환경인식 및 주행기술 등 기술의 선택적 적용이 유연한 개방형 자율 아키텍쳐 기술"
newgrowth::10::나::2),newgrowth,로봇,나. 안전로봇,2),내단열 기능이 구비된 험지 돌파형 소형 구조로봇 플랫폼 기술,"고온 및 화염에 강하고 협소구역 돌파가 우수한 고속주행 소형이동로봇 기술로서 장비 내외부 내화 설계 기술, 강제 내화시스템 설계 기술 및 험지 이동형 고속주행 메카니즘 설계 기술"
newgrowth::10::다::1),newgrowth,로봇,다. 의료 및 생활 로봇,1),"수술, 진단 및 재활 로봇기술","로봇기술을 이용한 진단 보조, 시술ㆍ수술보조와 이에 따른 환자의 조기 치유ㆍ재활이 목적인 의료로봇 기술"
newgrowth::10::다::2),newgrowth,로봇,다. 의료 및 생활 로봇,2),간병 및 케어 로봇 기술,간호사의 단순반복 업무 지원 및 환자의 정서케어 서비스 지원이 가능한 로봇 서비스 시스템 기술
newgrowth::10::다::3),newgrowth,로봇,다. 의료 및 생활 로봇,3),"안내, 통역, 매장서비스, 홈서비스 등의 안내로봇 기술",공공접객 장소 내에서 다양한 멀티미디어 콘텐츠를 활용한 제품 및 서비스 등을 효과적으로 안내하고 홍보하는 로봇 기술
newgrowth::10::다::4),newgrowth,로봇,다. 의료 및 생활 로봇,4),Tele-presence 로봇 기술,"자율이동기능, 진단ㆍ지시용 매니퓰레이터 및 얼굴모션 동기화 등의 기술구현을 통한 원격진료ㆍ진료자문 및 교육 등이 가능한 Tele-presence 로봇 기술"
newgrowth::10::다::5),newgrowth,로봇,다. 의료 및 생활 로봇,5),생활도우미 응용 서비스 기술,"가정 및 사회 환경 내에서 인간과 교감하며 정보의 취득, 일상생활 및 가사노동을 지원하는 지능형 로봇 및 서비스 기술로서 심부름, 가사작업 및 이동 보조형 로봇 기술"
