tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
strategic::1::::가.,strategic,반도체,,가.,첨단 메모리 반도체 설계ㆍ제조 기술,15nm이하급 D램 및 170단 이상 낸드플래시메모리 설계ㆍ제조 기술
strategic::1::::거.,strategic,반도체,,거.,원자층증착법 및 화학증착법을 위한 고유전체용 전구체 개발 기술,"기존의 이산화규소(SiO2)보다 우수한 유전특성을 갖는 high-k dielectric 박막 증착을 위한 원자층증착법(ALD, Atomic Layer Deposition) 및 화학증착법(CVD, Chemical Vapor Deposition)공정에 사용되는 전구체를 개발하는 기술"
strategic::1::::나.,strategic,반도체,,나.,"차세대 메모리반도체(STT-MRAM, PRAM, ReRAM, PIM, HBM, LLC, CXL, SOM) 설계ㆍ제조기술","기존 메모리반도체인 D램(DRAM)과 낸드 플래시메모리(Nand Flash Memory)의 장점을 조합한 STT-MRAM(Spin Transfer Torque-Magnetic Random Access Memory), PRAM(Phase-change Random Access Memory), ReRAM(Resistive Random Access Memory), 초거대 AI 응용을 위해 CPU와 메모리 간의 병목현상 해결을 목적으로 메모리반도체에 전용 AI 프로세서를 추가한 메모리시스템인 PIM(Processing In Memory), HBM(High Bandwidth Memory), LLC(Last Level Cache), CXL(Compute eXpress Link), SOM(Selector Only Memory) 등 차세대 메모리반도체 설계ㆍ제조기술"
strategic::1::::너.,strategic,반도체,,너.,고순도 불화수소 개발 및 제조기술,반도체 회로형성에 필요한 순도 99.999%(5N) 이상의 고순도 불화수소를 개발 및 제조하는 기술
strategic::1::::다.,strategic,반도체,,다.,고속 컴퓨팅을 위한 SoC 설계 및 제조(7nm이하) 기술,"인간형 인식, 판단, 논리를 수행할 수 있는 뉴럴넷(Neural Network)을 구현하는 초고속, 저전력 슈퍼프로세서 기술로서 지능형 자율주행 이동체(드론 등), 지능형 로봇, 게임로봇, 고속 정보 저장ㆍ처리 및 통신기기, AP(Application Processor), 위성체 및 군사용 무기 체계, 보안카메라, DVR (Digital Video Recoder)등의 화상처리용 지능형 보안시스템, 복합 교통관제 시스템 등의 제작을 위해 매니코어(Many Core)를 단일 반도체에 통합한 SoC(System on Chip) 설계 및 제조(7nm 이하) 기술"
strategic::1::::더.,strategic,반도체,,더.,블랭크 마스크 개발 및 제조기술,"ArF(불화아르곤) 광원 및 EUV(극자외선) 광원을 이용하여 반도체 회로를 형성하는 데 사용되는 블랭크마스크 원판 및 관련 소재[펠리클(Pellicle), 합성 쿼츠, 스터러링용 타겟 등을 포함]를 개발 및 제조하는 기술"
strategic::1::::라.,strategic,반도체,,라.,차세대 디지털기기 SoC 설계ㆍ제조기술,"IoT, 착용형 스마트 단말기기, 가전, 의료기기 및 핸드폰 등 차세대 디지털 기기 SoC의 주파수 조정 기능 반도체(RF switch 등 RF반도체), 디지털·아날로그 신호의 데이터 변환 반도체(인버터/컨버터, Mixed signal 반도체 등), UWB(Ultra-wideband), 메모리반도체와의 원칩화를 통한 컨트롤 IC(eNVM) 및 IoT 지능형 서비스를 적용하기 위한 지능정보 및 데이터의 처리가 가능한 IoTㆍ웨어러블 SoC(System on Chip)의 설계ㆍ제조 기술"
strategic::1::::러.,strategic,반도체,,러.,고기능성 인산 제조 기술,"SiNx, SiOx 막질의 선택적인 식각이 가능한 고선택비(1,000이상) 인산계 식각액 제조기술"
strategic::1::::마.,strategic,반도체,,마.,고성능 마이크로 센서의 설계‧제조‧패키징 기술,"물리적ㆍ화학적인 아날로그(analogue) 정보를 얻는 감지부와 논리ㆍ판단ㆍ통신기능을 갖춘 지능화된 신호처리 집적회로가 결합된 소자로서 나노기술, MEMS[Micro Electro Mechanical System, 기계부품ㆍ센서(sensor)ㆍ액츄에이터(actuator) 및 전자회로를 하나의 기판 위에 집적화)] 기술, 바이오 기술, 0.8㎛이하 CMOS(Complementary Metal-Oxide Semiconductor) 이미지센서 기술, HDR(High Dynamic Range) CMOS 이미지센서 기술 또는 SoC(System on Chip) 기술이 결합된 고성능 센서 설계ㆍ제조 및 패키징 기술"
strategic::1::::머.,strategic,반도체,,머.,고순도 석영(쿼츠) 도가니 제조 기술,반도체 웨이퍼 제조용 용융 실리콘의 오염을 막기 위한 도가니 형태의 순도 99.999%(5N) 이상의 고순도 석영 용기 제조 기술
strategic::1::::바.,strategic,반도체,,바.,차량용 반도체 설계·제조기술,"자동차 기능안전성 국제표준 ISO26262, 자동차용 반도체 신뢰성 시험규격 AEC-Q100을 만족하는 MCU(Micro controller unit), ECU(Electronic control unit), 파워IC, SoC, 하이브리드/전기차 및 자율주행용 IC 반도체의 설계ㆍ제조 기술"
strategic::1::::버.,strategic,반도체,,버.,코트막형성재 개발 및 제조기술,완성된 반도체 소자의 표면을 외부환경으로부터 보호하기 위해 사용하는 절연성을 가진 고감도(80mJ/㎠ 이하) 감광성 코팅 기술 또는 패키징 재배선(배선폭 7㎛ 이하) 형성 재료 제조 기술
strategic::1::::사.,strategic,반도체,,사.,에너지효율향상 반도체 설계ㆍ제조ㆍ패키징 기술,"저저항ㆍ고효율 특성을 지니며 차세대 응용 분야(전기차, 하이브리드카, 태양광/풍력발전 등 신재생에너지, 스마트그리드 등) 에 탑재되는 실리콘 기반의 에너지효율향상 반도체(SJ(Super Junction) MOSFET, IGBT, 화합물(SiC, GaN, Ga2O3) 기반의 에너지효율향상 반도체( MOSFET, IGBT) 및 모듈의 설계ㆍ제조ㆍ패키징 기술"
strategic::1::::서.,strategic,반도체,,서.,파운드리향 IP 설계 및 검증 기술,"7nm이하 파운드리 공정을 위한 Library(Standard Cell, I/O, Memory Compiler), IP와 해당 Library, IP를 모바일, 자동차, 서버, AI 등 응용 분야별로 최적화 시킨 Derivative Library, Derivative IP의 설계 및 검증 기술"
strategic::1::::아.,strategic,반도체,,아.,"에너지효율향상 전력 및 전력관리 반도체[BCDMOS(Bipolar-CMOS-DMOS), UHV(Ultra High Voltage), 고전압 아날로그 IC(Integrated Circuit), PMIC(Power Management IC)] 설계ㆍ제조기술(0.35㎛이하)","실리콘 기반의 저저항ㆍ고효율 특성을 지니며 차세대 응용 분야(5G, 전기자동차, 하이브리드자동차, 차세대 디지털기기용 디스플레이, 태양광, 풍력발전 등 신재생에너지, 스마트그리드, 반도체 및 배터리)에 탑재되는 아날로그, 디지털 로직, 파워소자를 원칩화한 초소형ㆍ초절전 전력반도체(0.35㎛이하 BCDMOS, 800V 이상 UHV, 12V 이상 고전압 아날로그 IC, PMIC) 설계ㆍ제조 기술"
strategic::1::::어.,strategic,반도체,,어.,"고성능ㆍ고효율 시스템 반도체의 테스트 기술 및 테스트 관련 장비, 부품 설계ㆍ제조기술","동작속도 250MHz 이상 SoC(System on Chip) 반도체, 6GHz 이상 주파수를 지원하는 RF(Radio Frequency) 반도체, AEC-Q100을 만족하는 차량용 반도체, 4,800만화소 이상 모바일용 CMOS 이미지센서, 내전압 1,000V 이상의 전력반도체, 소스채널 900개 이상의 OLED용 DDI(Display Driver IC)의 양ㆍ불량 여부를 전기적 특성검사를 통해 판단할 수 있는 테스트 기술 및 해당 테스트에 사용되는 최대검사속도 500Mbps 이상 주검사장비, 접촉정확도 1㎛이하 프로브스테이션(Probe Station), MEMS(Micro Electro Mechanial System) 기술 기반 프로브카드의 설계ㆍ제조 기술"
