tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::15::가::1),newgrowth,탄소중립,"가. 탄소포집ㆍ활용ㆍ저장(CCUS : Carbon Capture, Utilization and Storage)",1),연소 후 이산화탄소 포집 기술,"화력발전소, 철강, 화학공정, 시멘트공정 및 선박 등에서 화석연료 연소 후 발생되는 배기가스 중 이산화탄소를 효과적으로 분리하기 위한 흡수제, 흡착제, 분리막 등 분리소재를 제조하는 기술과 이를 이용한 이산화탄소 포집공정기술"
newgrowth::15::가::2),newgrowth,탄소중립,"가. 탄소포집ㆍ활용ㆍ저장(CCUS : Carbon Capture, Utilization and Storage)",2),연소 전 이산화탄소 포집기술,"석탄가스화 후 생성된 이산화탄소와 수소 중 이산화탄소를 분리하기 위한 흡수제, 흡착제, 분리막 등 분리소재를 제조하는 기술과 이를 이용한 이산화탄소 포집공정기술"
newgrowth::15::가::3),newgrowth,탄소중립,"가. 탄소포집ㆍ활용ㆍ저장(CCUS : Carbon Capture, Utilization and Storage)",3),순산소 연소기술 및 저가 산소 대량 제조기술,"기존 대량산소 제조기술인 심냉법을 대체하기 위한 이온전도성분리막(ITM, Ion Transfer Membrane), 세라믹-메탈 복합분리막(Ceramic-metal composite membrane), 흡착제 및 CLC(Chemical Looping Cycle) 등과 같이 산소를 저가로 대량생산 할 수 있는 기술과 이를 이용한 미분탄 등 화석연료의 순산소연소 공정기술"
newgrowth::15::가::4),newgrowth,탄소중립,"가. 탄소포집ㆍ활용ㆍ저장(CCUS : Carbon Capture, Utilization and Storage)",4),이산화탄소 지중 저장소 탐사기술,이산화탄소 포집 후 지하공간에 저장하기 위해 다양한 탐사 기술을 이용하여 지하 저장소를 파악하는 기술
newgrowth::15::가::5),newgrowth,탄소중립,"가. 탄소포집ㆍ활용ㆍ저장(CCUS : Carbon Capture, Utilization and Storage)",5),이산화탄소 수송ㆍ저장 기술,"대량발생원에서 포집된 이산화탄소를 이송하기 위한 압축ㆍ액화 수송기술, 수송된 이산화탄소를 지하심부에 안정적으로 저장하기 위한 시추 및 주입기술, 주입된 이산화탄소의 거동을 관측하고 예측하는 기술, 이산화탄소의 누출시 지하 및 지표 생태계에 미치는 영향을 평가하고 모니터링함으로써 장기적 안정성을 제고하는 환경 영향평가 및 사후관리 기술"
newgrowth::15::가::6),newgrowth,탄소중립,"가. 탄소포집ㆍ활용ㆍ저장(CCUS : Carbon Capture, Utilization and Storage)",6),"산업 부생가스(CO, CH4) 전환기술","제철소, 석유화학공단, 유기성 폐기물 등에서 발생하는 부생가스(CO, CH4)를 화학ㆍ생물 전환기술을 통해 화학원료 또는 수송연료 등을 생산하는 기술"
newgrowth::15::가::7),newgrowth,탄소중립,"가. 탄소포집ㆍ활용ㆍ저장(CCUS : Carbon Capture, Utilization and Storage)",7),이산화탄소 활용 기술,"이산화탄소를 광물화, 화학적ㆍ생물학적 변환을 통해 연료ㆍ화학물ㆍ건축소재 등을 재생산하는 기술"
newgrowth::15::나::10),newgrowth,탄소중립,나. 수소,10),암모니아 발전 기술,"암모니아 연료를 단독으로 사용하거나 석탄 또는 천연가스와 혼합하여 전력을 생산하는 기술로 연료전지, 가스터빈, 미분탄 보일러 및 유동층 보일러에 적용 가능한 발전 시스템을 설계ㆍ제작하는 기술"
newgrowth::15::나::11),newgrowth,탄소중립,나. 수소,11),산업용 수소 보일러 및 연소기 설계ㆍ제작 기술,수소 연료를 연소(혼소ㆍ전소)하여 발생하는 열에너지를 직접 사용하거나 증기ㆍ온수를 생산하는 산업용 수소 보일러 및 이를 구성하는 수소 연소기 부품을 설계ㆍ제작ㆍ운용하는 기술
newgrowth::15::나::12),newgrowth,탄소중립,나. 수소,12),선박용 암모니아 연료기반 수소생산 시스템 및 연료전지 적용 기술,온실가스를 배출하는 기존 선박의 추진시스템을 대체하기 위해 암모니아를 분해하여 수소를 생산하는 시스템 및 이를 활용한 연료전지 적용 기술
newgrowth::15::나::13),newgrowth,탄소중립,나. 수소,13),수소 가스터빈(혼소ㆍ전소) 복합발전용 암모니아 분해 기반 청정수소 생산기술,수소 가스터빈 복합발전에 필요한 수소를 공급하기 위해 특화된 암모니아 분해 기반 청정수소 생산ㆍ공급 기술
