tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::11::가::5),newgrowth,항공․우주,가. 무인이동체,5),무인기 데이터링크 핵심기술,"무인기와 지상국ㆍ조종기간, 무인기와 타 무인이동체 간에 감시 및 추적, 정보 전달 등의 데이터 송수신을 지속적으로 유지하기 위한 기반 기술로 소형ㆍ경량 탑재통신장비, 정밀 추적 안테나, 무인기간 네트워크 보안을 포함하는 기술"
newgrowth::11::가::1),newgrowth,항공·우주,가. 무인이동체,1),무인기 지능형 자율비행 제어 시스템 기술,"무인기가 내외부의 비행 상황을 인식하고, 스스로 조종하며 임무를 수행하기 위해 필요한 비행조종컴퓨터 개발기술과 자율비행 알고리즘(algorithm) 그리고 관련 소프트웨어 기술로, 장애물 탐지 및 지상/공중 장애물 충돌회피 기술, 고장진단 및 고장허용 제어기술, 인공지능 기반 비행체 유도제어 성능향상 기술, 무인이동체 실시간 운영체제 및 소프트웨어 아키텍쳐 설계기술, 고신뢰성과 비행안전성 보장 경량 비행조종컴퓨터 기술을 포함하는 기술"
newgrowth::11::가::2),newgrowth,항공·우주,가. 무인이동체,2),지능형 임무수행 기술,"무인기의 자율적인 비행과 임무수행 데이터 획득분석을 위한 기술로서 3차원 디지털 맵 생성 및 위치인식 기술, GPS 및 Non-GPS 기반의 항법기술, 무인기 교통관제 및 경로최적화 기술, 무인기 활용서비스용 데이터 처리 및 가공 기술을 포함하는 기술"
newgrowth::11::가::3),newgrowth,항공·우주,가. 무인이동체,3),무인기 탑재 첨단센서 기술,"무인기의 운항 지원과 활용 목적에 따른 임무 달성 지원을 위해 첨단 센서 및 장비를 적용하는 기술로, GPS, INS(Inertial Navigation System) 등의 항법센서기술, 소형 경량레이더 기술, 충돌회피용 소형 LIDAR(Light detection and ranging) 센서 기술, 멀티스펙트럼(multi-spectrum) 카메라 기술, 360°카메라 및 송수신 기술, Non-GNSS(Global Navigation Satellite System) 융합센서기술을 포함하는 기술"
newgrowth::11::가::4),newgrowth,항공·우주,가. 무인이동체,4),무인기 전기구동 핵심부품 기술,"전기동력을 기반으로 무인기의 조종, 이착륙, 추진 등을 담당하는 핵심부품을 개발하기 위한 기술로서, 소형무인기용 고효율 전기모터 기술, 무인기용 저온용 배터리 및 전원관리시스템기술, 고효율 전기모터용 인버터(inverter) 기술을 포함하는 기술"
newgrowth::11::가::6),newgrowth,항공·우주,가. 무인이동체,6),무인기 지상통제 핵심기술,"무인기를 지상에서 원격으로 조종하고 상황을 모니터링하기 위한 조종기, 지상국, 텔레메트리(telemetry) 장비와 관련 운영 소프트웨어 프로그램 기술로 소형무인기 조종기 개발기술, 무인기 조종훈련을 위한 시뮬레이터(simulator)기술, 실시간 무인기 상황 및 임무현황 분석기술을 포함하는 기술"
newgrowth::11::나::1),newgrowth,항공·우주,나. 우주,1),위성본체 부분품 개발기술,"위성본체 개발을 목적으로 하는 전력시스템, 자세제어용 센서 및 시스템, 위성탑재 컴퓨터시스템, 위성교신을 위한 송수신시스템, 위성 구조체 시스템(태양전지 포함), 추진시스템(추력기, 추진제 저장탱크, 밸브 및 제어기 등), 열제어시스템 등에 대한 기술"
newgrowth::11::가::7),newgrowth,항공ㆍ우주,가. 무인이동체,7),물류 배송용 드론 제조기술,"일정 중량(10kg) 이상 물품의 비가시권 비행을 100% 신뢰성을 확보하여 안전하게 운송 가능한 드론 제조 기술 및 기능개선에 필요한 소재(열전도율 5kcal/mㆍh 대비 10% 이상 개선)ㆍ부품(세계 최고 CPU 속도대비 약 66% 이상 처리성능 개선)ㆍ장비(다지점 배달용 물품 적재함, 물품배송 드론용 도킹스테이션 등의 경량화)의 설계ㆍ제조 기술"
newgrowth::11::가::8),newgrowth,항공ㆍ우주,가. 무인이동체,8),드론용 하이브리드 추진 시스템 기술,전기배터리 무인기의 체공시간(120분 이상) 및 탑재량(12kg 이상) 증대를 위해 엔진 동력을 이용하여 전기모터를 동작시키는 하이브리드 추진시스템 기술 및 이와 관련한 소재ㆍ부품 및 장비의 설계ㆍ제조 기술
newgrowth::11::나::2),newgrowth,항공ㆍ우주,나. 우주,2),"위성 탑재체(정찰, 통신, 지구 탐사, 기상예보 따위와 같은 임무를 수행하기 위해 탑재되는 위성체의 구성 부분을 말한다) 부분품 개발기술","인공위성 탑재를 목적으로 하는 광학 탑재체, 영상레이더 탑재체, 통신ㆍ방송 탑재체, 우주과학 탑재체, 항법 탑재체 시스템 및 위성용 영상자료처리장치, 주파수 변조기 및 안테나 등에 대한 기술"
