tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::7::가::2),newgrowth,바이오·헬스,가. 바이오·화합물의약,2),방어 항원 스크리닝 및 제조기술,면역 기전을 이용하여 인체질환을 방어하기 위해 항원을 스크리닝하고 이 항원을 제조하여 각종 질환을 치료하거나(치료용 백신) 예방하기 위한 백신(예방용 백신) 제조 기술
newgrowth::7::다::3),newgrowth,바이오·헬스,다. 바이오 농수산·식품,3),신품종 종자개발기술 및 종자가공처리 기술,"유전자원을 활용하여 부본과 모본의 교배를 통하거나 전통적인 육종기술에 유전공학 기술을 접목하여 생산성, 품질, 기능성 등이 개선된 신품종 종자를 개발하는 기술과 종자의 품질을 높이기 위한 프라이밍(priming), 코팅(coating), 펠렛팅(pelleting) 등 종자 가공처리 기술"
newgrowth::7::가::11),newgrowth,바이오ㆍ헬스,가. 바이오ㆍ화합물의약,11),동물용의약품 후보물질 생산기술,"식물체ㆍ식물세포 기반의 동물용의약품 후보물질 탐색, 디자인, 식물배양, 정제 및 대량생산 등을 통해 백신, 치료제, 진단제 등의 후보물질을 개발하는 기술"
newgrowth::7::가::4),newgrowth,바이오ㆍ헬스,가. 바이오ㆍ화합물의약,4),혁신형 신약(화합물의약품) 후보물질 발굴 및 제조기술,"인체내 질병의 원인이 되는 표적 수용체(Receptor) 또는 효소(Enzyme) 등의 반응 기전(Mechanism)을 규명하고 분자설계를 통해 표적체(Target)와 선택적으로 작용할 수 있는 구조의 화합물 후보물질 라이브러리(Library)를 확보하며, 고속탐색법(HTS, High Throughput Screening) 기술을 이용하여 후보물질 라이브러리로부터 후보물질을 도출한 후 유기합성기술을 통해 안전성 및 유효성이 최적화된 신약 후보물질로 개발하는 기술 및 혁신형 신약을 제조하거나 혁신형 신약의 원료를 개발ㆍ제조하는 기술"
newgrowth::7::가::5),newgrowth,바이오ㆍ헬스,가. 바이오ㆍ화합물의약,5),혁신형 개량신약(화합물의약품) 개발 및 제조 기술,"DDS(Drug Delivery System, 약물전달시스템), 염변경, 이성체 제조, 복합제 제조 및 바이오ㆍ나노기술과의 융합 등의 기술을 통해 기존 신약보다 안전성, 유효성, 유용성(복약순응도, 편리성 등), 효능 등을 현저히 개선시킨 개량 신약을 개발ㆍ제조하는 기술 및 혁신형 개량신약의 원료를 개발ㆍ제조하는 기술"
newgrowth::7::가::6),newgrowth,바이오ㆍ헬스,가. 바이오ㆍ화합물의약,6),임상약리시험 평가기술(임상1상 시험),"혁신형 신약(화합물의약품) 후보물질의 초기 안정성, 내약성, 약동학적, 약력학적 평가 및 약물대사와 상호작용 평가, 초기 잠재적 치료효과 추정을 위한 임상약리시험 평가기술"
newgrowth::7::가::7),newgrowth,바이오ㆍ헬스,가. 바이오ㆍ화합물의약,7),치료적 탐색 임상평가기술(임상2상 시험),혁신형 신약(화합물의약품) 후보물질의 용량 및 투여기간 추정 등 치료적 유용성 탐색을 위한 평가기술
newgrowth::7::가::8),newgrowth,바이오ㆍ헬스,가. 바이오ㆍ화합물의약,8),치료적 확증 임상평가기술(임상3상 시험),"바이오시밀러[R&D비용이 매출액의 2% 이상이고, 국가전략기술과 신성장ㆍ원천기술 R&D비용(바이오시밀러 임상비용 포함)이 전체 R&D비용의 10% 이상인 기업의 임상시험으로 한정하되, 국가전략기술 R&D비용(바이오시밀러 임상비용 포함)이 전체 R&D비용의 10% 이상인 기업의 임상시험은 제외한다], 혁신형 신약(화합물의약품) 후보물질의 안전성, 유효성 등 치료적 확증을 위한 평가기술"
newgrowth::7::나::1),newgrowth,바이오ㆍ헬스,나. 의료기기ㆍ헬스케어,1),기능 융합형 초음파 영상기술,"조기 정밀 진단을 위한 영상기술 간 융합(X-ray - 초음파, 광음향 － 초음파) 및 정밀치료를 위한 초음파 영상유도 기반의 체외충격파 치료 기술"
newgrowth::7::나::2),newgrowth,바이오ㆍ헬스,나. 의료기기ㆍ헬스케어,2),신체 내에서 생분해되는 소재 개발 및 제조 기술,"우수한 유연성과 고강도의 기계적 물성을 가지며, 시술에 따른 혈전증 및 재협착률을 최소화하는 생분해성 스텐트 제조 기술"
newgrowth::7::나::3),newgrowth,바이오ㆍ헬스,나. 의료기기ㆍ헬스케어,3),유전자 검사용 진단기기 및 시약의 개발 및 제조 기술,"질병의 진단이나 건강상태 평가를 목적으로 인체에서 채취한 검체로부터 DNA(deoxyribonucleic acid), RNA(ribonucleic acid), 염색체, 대사물질을 추출하여 분석하는 기기 및 시약의 개발 및 제조 기술"
newgrowth::7::나::4),newgrowth,바이오ㆍ헬스,나. 의료기기ㆍ헬스케어,4),암진단용 혈액 검사기기 및 시약의 개발 및 제조 기술,채취한 혈액으로부터 종양 표지자의 농도를 측정하여 암발생 유무를 판단하는 데 활용되는 검사기기 및 시약의 개발 및 제조 기술
newgrowth::7::나::5),newgrowth,바이오ㆍ헬스,나. 의료기기ㆍ헬스케어,5),감염병 병원체 검사용 진단기기 및 시약의 개발 및 제조 기술,"인체에서 채취된 혈액, 소변, 객담, 분변 등의 검체를 이용하여 국내에서 새롭게 발생했거나 발생할 우려가 있는 감염병 또는 국내 유입이 우려되는 해외 유행 감염병의 병원체를 검사하는 데 활용되는 기기 및 시약의 개발 및 제조 기술"
newgrowth::7::나::6),newgrowth,바이오ㆍ헬스,나. 의료기기ㆍ헬스케어,6),정밀의료 등 맞춤형 건강관리 및 질병 예방ㆍ진단ㆍ치료 서비스를 위한 플랫폼 기술,"서로 다른 형태의 개인건강정보(진료기록, 일상건강정보, 유전자 분석 데이터, 공공데이터 등)를 저장ㆍ관리하기 위한 정보 변환기술과, 수집된 정보의 분석을 통해 질병 발병도 등 건강을 예측하고 이에 따른 맞춤형 건강관리 및 질병 예방ㆍ진단ㆍ치료를 제공하는 기술"
newgrowth::7::나::7),newgrowth,바이오ㆍ헬스,나. 의료기기ㆍ헬스케어,7),신체기능 복원ㆍ보조 의료기기 기술,생체역학ㆍ바이오닉스 등 첨단 의공학 기술을 통해 영구 손상된 신체기능을 원래대로 복원하여 정상적인 일상생활을 가능하게 하는 기술
newgrowth::7::다::1),newgrowth,바이오ㆍ헬스,다. 바이오 농수산ㆍ식품,1),비가열 및 고온ㆍ고압 전처리 기술,"초고압(1,000기압 이상), 고압전자기장[PET(Pulsed Electric Field) 1kV 이상], 전기저항가열(Ohmic Heating), 방사선 조사(irradiation)와 같은 대체 열에너지를 사용하거나, 가압ㆍ진공ㆍ과열증기(SHS, Superheated steam) 및 증기직접주입법(DSI, Direct steam injection) 등을 이용한 고온ㆍ고압 처리기술을 사용하여 미생물 수를 감소시키거나 사멸시키는 처리기술"
newgrowth::7::다::2),newgrowth,바이오ㆍ헬스,다. 바이오 농수산ㆍ식품,2),식품용 기능성 물질 개발 및 제조 기술,동ㆍ식물 및 미생물 유래 기능 물질의 탐색ㆍ분석ㆍ동정(identification)과 식품용도로 사용하기 위한 안전성ㆍ기능성 평가 및 원료 가공 또는 대량생산 기술
newgrowth::7::다::4),newgrowth,바이오ㆍ헬스,다. 바이오 농수산ㆍ식품,4),유용미생물의 스크리닝 기술 및 유용물질 대량생산공정 기술,"세균이나 곰팡이를 선발ㆍ분리하여 효용성을 평가하거나 이들 미생물을 활용한 균주개발, 최적활성 연구, 발효공정, 정제공정 등을 거쳐 유용물질을 대량으로 생산하는 기술"
newgrowth::7::다::5),newgrowth,바이오ㆍ헬스,다. 바이오 농수산ㆍ식품,5),스마트팜 환경제어 기기 제작 기술,"온실이나 축사의 온도, 습도, 이산화탄소, 악취 등을 감지하여 환경을 조절하는 센서와 이를 통해 작동하는 액츄에이터(actuator) 및 제어시스템을 설계ㆍ제조하는 기술"
newgrowth::7::다::6),newgrowth,바이오ㆍ헬스,다. 바이오 농수산ㆍ식품,6),단백질 분리ㆍ분획ㆍ정제 및 구조화 기술,"물리적ㆍ화학적 방법을 이용하여 농ㆍ식품자원으로부터 단백질을 전분, 지방 등과 분리하여 용도에 맞게 분획ㆍ정제하는 기술, 동물세포나 조직을 배양ㆍ분화하는 기술 및 단백질 또는 세포를  3D 프린터, 압출식 성형방식, 지지체 등을 통해 구조화하고 이를 대량으로 생산하는 기술"
newgrowth::7::다::7),newgrowth,바이오ㆍ헬스,다. 바이오 농수산ㆍ식품,7),식품 냉ㆍ해동 안정화 기술,"수분전이제어, 원물코팅, 라디오 주파수ㆍ저온 Steam 해동 등을 활용하여 냉동원료 및 제품의 품질을 균일하게 제어할 수 있는 식품 냉ㆍ해동 안정화 기술"
newgrowth::7::라::1),newgrowth,바이오ㆍ헬스,라. 바이오 화학,1),바이오매스 유래 바이오플라스틱 생산 기술,재생가능한 유기자원을 이용하여 직접 또는 전환공정을 통해 당 또는 리그닌 등 유효성분을 추출ㆍ정제하는 기술 및 바이오플라스틱을 생산하는 기술
newgrowth::7::라::2),newgrowth,바이오ㆍ헬스,라. 바이오 화학,2),바이오 화장품 소재(원료) 개발 및 제조기술,"세포활성 제어기술, 미생물 발효 및 생물전환기술, 활성성분 대량생산기술 등의 바이오 기술(bio technology)을 활용하여 화장품의 소재(원료)를 개발 및 제조하는 기술"
newgrowth::7::라::3),newgrowth,바이오ㆍ헬스,라. 바이오 화학,3),신규 또는 대량 생산이 가능한 바이오화학 소재 개발 및 미생물 발굴 바이오 파운드리 기술,"바이오플라스틱, 바이오화장품 소재, 바이오생리활성 소재 등을 생산하는 미생물 확보를 위한 유전자 편집 등의 합성생물학 기술과 이를 활용한 디자인, 제작, 시험, 학습 등의 순환 과정의 바이오파운드리 기술"
