tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
strategic::5::::가.,strategic,수소,,가.,수전해 기반 청정수소 생산기술,"재생에너지ㆍ원자력에너지 등 무탄소 전원, 계통제약 전력(미활용전력) 등을 활용하여 물을 분해하여 청정 수소를 생산ㆍ공급하는 수전해 공정의 소재ㆍ부품ㆍ스택(stack)ㆍ시스템 설계 및 제조기술"
strategic::5::::나.,strategic,수소,,나.,탄소포집 청정수소 생산기술,"천연가스, 액화석유가스, 바이오가스, 바이오매스, 폐플라스틱 등 탄화수소 원료로부터 추출수소를 생산하는 과정에서 배출되는 이산화탄소, 일산화탄소, 고체탄소 등 탄소화합물을 포집ㆍ전환하여 청정수소를 생산하는 기술"
strategic::5::::다.,strategic,수소,,다.,수소연료 저장ㆍ공급 장치 제조기술,수소연료로 전기를 생산하여 운행되는 이동수단에 수소연료를 저장ㆍ공급하는 장치 제조 기술
strategic::5::::라.,strategic,수소,,라.,수소충전소의 수소 생산ㆍ압축ㆍ저장ㆍ충전 설비 부품 제조기술,"수소충전소의 수소 생산설비, 압축설비, 저장설비, 충전설비의 부품 설계 및 제작 기술"
strategic::5::::마.,strategic,수소,,마.,수소차용 고밀도 고효율 연료전지시스템 기술,"연료전지 스택 출력밀도 3.1kW/L 이상 또는 연료전지 스택 운전효율[저위발열량(LHV, Lower Heating Value)에 따라 산출된 운전효율을 말한다] 60% 이상을 만족하는 수소전기차용 고밀도ㆍ고효율 연료전지시스템 설계 및 제조기술"
strategic::5::::바.,strategic,수소,,바.,연료전지 전용부품 제조기술,"연료전지 핵심부품인 개질기, 막전극 접합체, 금속 분리판 또는 블로어 제조 기술"
strategic::5::::사.,strategic,수소,,사.,수소 가스터빈(혼소ㆍ전소) 설계 및 제작 기술,수소를 연료로 사용하여 연소시킬 때 발생하는 고온ㆍ고압의 에너지로 발전기를 회전시켜 전기를 생산하는 가스터빈 부품 설계ㆍ제작ㆍ조립ㆍ시험 평가 기술
strategic::5::::아.,strategic,수소,,아.,수소환원제철 기술,"철강 제조공정에서 수소(H2)를 사용하여 철광석을 환원하고, 전기용융로에서 쇳물(용선)을 생산하는 기술"
strategic::5::::자.,strategic,수소,,자.,수소 저장 효율화 기술,"수소를 고압기체, 액체, 암모니아, 액상 유기물 수소 저장체(LOHC) 등의 형태로 저장하거나 고체에 흡장 또는 흡착하여 저장하는 기술"
strategic::5::::차.,strategic,수소,,차.,수소 처리 바이오에너지 생산기술,"수소(H2)와 생물유기체에서 유래한 원료를 이용하여 직접 또는 전환공정을 통해 연료나 석유화학 원료로 사용할 수 있는 디젤, 항공유, 액화석유가스, 나프타를 생산하는 기술"
