concept_id,en_abbrev,en_full,korean,domain,short,related
2d-2-5d-3d-패키징,2D/2.5D/3D Packaging,2D/2.5D/3D Packaging,2차원/2.5차원/3차원 패키징,반도체,"여러 개의 반도체 칩을 평면으로 배치하거나, 중간 판을 두어 연결하거나, 아파트처럼 수직으로 쌓아 올려 하나의 반도체처럼 작동하게 만드는 첨단 포장 기술입니다. 개별 칩 간의 데이터 전송 속도를 비약적으로 높이고 소비전력을 낮출 수 있어, 고성능 인공지능 칩이나 중앙처리장치 제조에 쓰입니다.",
3d-적층형-반도체,,3D Stacked Semiconductor,3D 적층형 반도체,반도체,"평면으로만 배열하던 반도체 칩이나 웨이퍼 회로를 아파트처럼 수직으로 높게 쌓아 올린 구조의 고밀도 반도체입니다. 데이터가 이동하는 경로가 훨씬 짧아져 신호 전달 속도가 획기적으로 빨라지고, 한정된 공간에 더 많은 소자를 넣을 수 있습니다. 고성능 메모리와 시스템 반도체를 수직으로 결합하여 처리 능력을 극대화하는 차세대 패키징 설계 및 제조 기술입니다.",pcb
802-11ac,,IEEE 802.11ac,802.11ac 표준 규격,통신,"국제전기전자기술자협회에서 제정한 무선 네트워크 전송 표준 규격 중 하나로, 우리가 일상적으로 사용하는 와이파이(Wi-Fi) 기술의 일종입니다. 5GHz 주파수 대역을 사용하여 넓은 대역폭과 고속 데이터 전송을 지원하는 무선랜 기술입니다. 차세대 근거리 무선통신 시스템에서 이 규격보다 주파수 효율과 전송 속도를 더욱 향상시키기 위한 비교 기준으로 사용됩니다.",
aec-q100,AEC-Q100,Automotive Electronics Council Q100,차량용 반도체 신뢰성 시험 규격,미래차,글로벌 자동차 제조사 및 부품사들이 제정한 차량용 반도체의 품질과 신뢰성을 인증하는 국제 시험 표준 규격입니다. 영하 40도에서 영상 150도에 이르는 극한의 온도 변화와 강한 진동 속에서도 반도체가 고장 없이 정상 작동하는지 엄격히 검증하여 안전성이 직결된 자동차 부품에 적용합니다.,
ai-가속기,,AI Accelerator,인공지능 가속기,AI,방대한 데이터 계산과 딥러닝 등 인공지능의 복잡한 연산 처리를 전문적으로 빠르게 수행하기 위해 특화되어 설계된 하드웨어 연산 장치입니다. 일반 컴퓨터 프로세서보다 컴퓨터의 전력 소비를 줄이고 연산 속도를 높여줍니다. 초고속 데이터 전송을 지원하고 효과적으로 열을 분산시키는 고성능 차세대 인쇄회로기판 및 소재 부품 개발 기술에 적용됩니다.,ccl;pcb
ald,ALD,Atomic Layer Deposition,원자층증착법,반도체,"반도체 기판 위에 가스를 교대로 공급하여 원자 두께만큼 아주 얇고 일정한 막을 한 층씩 쌓아 올리는 정밀 증착 기술입니다. 막의 두께를 아주 세밀하게 제어할 수 있고 미세한 입체 구조물 표면에도 빈틈없이 고르게 코팅할 수 있어, 초미세 고성능 반도체 칩을 제조하는 공정에 필수적으로 쓰입니다.",증착;전구체;식각
amoled,AMOLED,Active-Matrix Organic Light-Emitting Diode,능동형 유기발광다이오드,디스플레이,"화면을 이루는 개별 화소마다 독자적인 스위치를 달아 빛을 독립적으로 정밀하게 제어하는 디스플레이 기술입니다. 유기물질이 스스로 빛을 내어 깊은 검은색과 선명한 색을 보여주며, 응답 속도가 빠르고 얇게 만들 수 있어 프리미엄 스마트폰이나 고화질 TV 화면에 주로 쓰입니다.",구동소자;마이크로led
ap,AP,Application Processor,애플리케이션 프로세서,반도체,"스마트폰이나 태블릿 등 모바일 기기 내부에서 컴퓨터의 중앙처리장치 역할을 하며 운영체제 구동, 그래픽 작업, 연산 등 핵심 기능을 모두 수행하는 대형 시스템 반도체 칩입니다. 기기 작동에 필요한 여러 기능이 칩 하나에 집적되어 있습니다. 자율주행 차량, 지능형 로봇, 고속 정보 처리 기기용 초미세 반도체 회로를 설계하고 제조하는 첨단 파운드리 공정에 적용됩니다.",mcu-2
apr,APR+,Advanced Power Reactor Plus,신형원전 플러스,원자력,국내 기술로 독자 개발한 1500메가와트급 차세대 대형 원전 모델로 기존 한국형 원전의 안전성과 경제성을 대폭 업그레이드한 표준 설계 기술입니다. 항공기 충돌과 같은 극단적인 외부 충격에도 견딜 수 있도록 안전 제어 시스템이 대폭 강화된 것이 특징입니다. 원전 수출과 원자력 핵심 설계 코드 국산화를 위한 종합 표준 설계 자산으로 활용됩니다.,원자로;열수력
arf,ArF,Argon Fluoride,불화아르곤,반도체,"반도체 제조 과정 중 빛을 이용해 기판에 미세한 회로를 그리는 노광 공정에서 사용되는 광원 또는 가스 물질입니다. 상대적으로 파장이 짧아 얇고 세밀한 회로 선폭을 구현하는 데 적합하며, 초미세 공정으로 가기 전 단계의 첨단 메모리나 시스템 반도체 표면에 회로를 새길 때 주로 쓰입니다.",euv
