tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
strategic::2::::가.,strategic,이차전지,,가.,고에너지밀도 이차전지 팩 제조기술,"전기차, 에너지저장장치 등에 사용되는 이차전지 팩의 중량당 에너지밀도를 160Wh/kg 이상으로 구현하기 위한 모듈 및 팩 설계, 제조 기술"
strategic::2::::나.,strategic,이차전지,,나.,고성능 리튬이차전지 부품·소재·셀 및 모듈 제조 기술,"이차전지 셀을 기준으로 중량당 에너지밀도가 265Wh/kg 이상 또는 1시간 기준 방전출력 대비 6배 이상의 고출력(6C-rate 이상) 또는 충방전 1,000회 이상의 장수명을 충족하는 고성능 리튬이차전지에 사용되는 부품·소재·셀 및 모듈 제조 및 안전성 향상 기술"
strategic::2::::다.,strategic,이차전지,,다.,사용후 배터리 평가 및 선별 기술,"수명이 종료(초기용량 대비 80% 이하)된 배터리의 잔존용량, 출력특성 등의 성능 평가 기술 및 안전성, 재사용 가능성 등을 평가하여 잔존가치를 유지한 배터리를 선별하는 기술"
strategic::2::::라.,strategic,이차전지,,라.,사용후배터리 재활용 기술,"수명이 종료된 사용후 배터리를 친환경적으로 처리하고, 리튬, 니켈, 코발트, 구리 등 재자원화가 가능한 유가금속을 회수하는 기술 (리튬 35% 이상, 니켈/코발트 90% 이상 회수)"
strategic::2::::마.,strategic,이차전지,,마.,차세대 리튬이차전지 부품·소재·셀 및 모듈 제조 기술,중량당 방전용량이 600mAh/g 이상인 고성능 전극 또는 고체전해질을 기반으로 하는 차세대 리튬이차전지에 사용되는 부품·소재·셀 및 모듈 제조기술
strategic::2::::바.,strategic,이차전지,,바.,하이니켈 양극재 제조기술,"니켈 함량이 80% 이상인 고용량 양극재 제조기술, 수명 증가를 위한 안정성 향상 기술, 리튬계 원자재, 금속전구체 등 양극재 원료기술 및 관련 장비 제조기술"
strategic::2::::사.,strategic,이차전지,,사.,장수명 음극재 제조기술,"충방전 1,000회 이상이 가능한 장수명 음극재 제조기술, 이차전지의 고온특성 향상을 위한 안정성 향상기술, 음극재 제조에 필요한 카본계 또는 금속계의 원료기술 및 이의 제작에 필요한 장비 제조기술"
strategic::2::::아.,strategic,이차전지,,아.,이차전지 분리막 및 전해액 제조기술,"수명특성, 신뢰성, 안전성을 향상시키는 분리막 및 저온특성, 장수명, 안전성을 향상시키는 전해액 제조기술과 안정성 향상기술 및 관련 원료·장비 제조기술"
strategic::2::::자.,strategic,이차전지,,자.,이차전지 부품 제조기술,"배터리 장기 사용을 위한 패키징 부품(파우치, 캔, 리드탭) 및 고성능 배터리를 위한 전극용 소재부품(도전재, 바인더, 집전체) 제조·안전성 향상 기술 및 원료·장비 제조기술"
strategic::2::::차.,strategic,이차전지,,차.,양극재용 고순도 금속 화합물 제조ㆍ가공기술,"금속이온 원료로부터 결정화, 정련, 전환 및 정제 기술을 활용하여 중간체 및 순도 99% 이상의 양극재용 금속화합물(수산화리튬, 탄산리튬, 황산니켈, 황산코발트, 황산망간)로 제조ㆍ가공하는 기술"
