tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::14::가::1),newgrowth,에너지ㆍ환경,가. 에너지 저장 시스템(ESS: Energy Storage System),1),비리튬계 이차전지 소재 등 설계 및 제조기술,흐름전지(Flow Battery)에 사용되는 전극ㆍ멤브레인(Membrane)ㆍ전해질ㆍ저가 분리판ㆍ스택(Stack) 설계 및 제조 기술과 나트륨(Sodium)계 이차전지에 사용되는 소재(양극ㆍ음극ㆍ전해질)ㆍ셀(Cell)ㆍ모듈 설계 및 제조 기술
newgrowth::14::가::2),newgrowth,에너지ㆍ환경,가. 에너지 저장 시스템(ESS: Energy Storage System),2),전력관리시스템 설계 및 전력변환장치 설계 및 제조 기술,"전력을 제어하기 위한 전력관리시스템(PMS, Power Management System) 설계 기술과 저장장치 전력과 전력계통 간의 특성을 맞춰주는 전력변환장치(PCS, Power Conversion System) 설계 및 제조 기술"
newgrowth::14::가::3),newgrowth,에너지ㆍ환경,가. 에너지 저장 시스템(ESS: Energy Storage System),3),에너지관리시스템 기술,"주파수조정, 신재생연계, 수요반응 등의 응용 분야별 제어 소프트웨어 기술을 핵심으로 하는 에너지관리시스템(EMS, Energy Management System) 기술"
newgrowth::14::가::4),newgrowth,에너지ㆍ환경,가. 에너지 저장 시스템(ESS: Energy Storage System),4),배터리 재사용ㆍ재제조를 위한 선별 기술,초기용량 대비 80% 이하로 수명이 종료된 전기자동차 배터리의 성능ㆍ안전성 평가를 통해 잔존가치를 유지한 배터리를 선별하는 기술
newgrowth::14::가::5),newgrowth,에너지ㆍ환경,가. 에너지 저장 시스템(ESS: Energy Storage System),5),고성능 리튬이차전지 기술,265wh/kg 이상의 에너지밀도 또는 6C-rate 이상의 방전속도를 충족하는 고성능 리튬이차전지에 사용되는 부품ㆍ소재ㆍ셀(cell) 및 모듈(module) 제조 및 안전성 향상 기술
newgrowth::14::가::6),newgrowth,에너지ㆍ환경,가. 에너지 저장 시스템(ESS: Energy Storage System),6),전기동력 자동차의 에너지저장 시스템 기술,"전기동력 자동차(xEV)의 주행거리 연장, 충전시간 단축 등을 위해 차량용 이차전지 팩의 에너지 밀도를 160Wh/kg 이상으로 구현하기 위한 기술"
newgrowth::14::나::1),newgrowth,에너지ㆍ환경,나. 발전,1),대형가스터빈 부품 및 시스템 설계ㆍ제작ㆍ조립ㆍ시험 평가기술,"천연가스를 연소시킬 때 발생하는 고온 고압의 에너지로 발전기를 회전시켜 전기를 생산하는 용량 380MW 이상, 효율 43% 이상의 터빈ㆍ부품 설계ㆍ제작ㆍ조립ㆍ시험 평가 기술"
newgrowth::14::나::2),newgrowth,에너지ㆍ환경,나. 발전,2),초임계 이산화탄소 터빈구동 시스템 설계ㆍ제조기술,열원을 활용하여 생성된 초임계상태의 이산화탄소(supercritical CO2)를 작동 유체로 터빈을 구동하는 고효율 터빈ㆍ압축기ㆍ열교환기 등 발전설비 및 시스템 개발 기술
newgrowth::14::나::3),newgrowth,에너지ㆍ환경,나. 발전,3),증기터빈 부품 및 시스템 설계ㆍ제작ㆍ조립ㆍ시험 평가기술,"610℃ 이상 및 270 bar 이상의 고온ㆍ고압의 에너지로 발전기를 3,600 RPM 이상으로 회전시켜 전력을 생산하는  터빈ㆍ부품설계ㆍ제작ㆍ조립ㆍ시험 평가기술"
newgrowth::14::다::1),newgrowth,에너지ㆍ환경,다. 원자력,1),"원자로 냉각재 펌프(RCP, Reactor Coolant Pump) 설계 기술","원자로에서 핵반응을 통해 발생되는 열을 제거하여 증기발생기로 보내기 위해 냉각재를 순환시키는 원자력발전소 핵심 기기인 원자로냉각재펌프의 상세설계기술, 원형 제작기술, 성능 시험기술, 신뢰성 평가기술 등 제반 핵심 설계ㆍ제작 기술"
newgrowth::14::다::10),newgrowth,에너지ㆍ환경,다. 원자력,10),대형 원자력발전소 제조기술,"대형 원자력발전소를 구성하는 원자로ㆍ내부구조물, 핵연료 취급ㆍ검사장비, 증기발생기ㆍ가압기, 원자로 냉각재펌프, 증기터빈ㆍ주발전기 및 보조기기를 제조하는 기술"
newgrowth::14::다::11),newgrowth,에너지ㆍ환경,다. 원자력,11),혁신 제조공법 원전 분야 적용 기술,"분말-열간등방압성형(PM-HIP) 기술, 전자빔 용접(EBW) 기술, 다이오드 레이저 클래딩(DLC) 기술 및 원전기자재 적층제조 기술"
newgrowth::14::다::2),newgrowth,에너지ㆍ환경,다. 원자력,2),내열 내식성 원자력 소재 기술,"방사선, 고온 및 부식성 환경 속에서 내부식성을 극대화시킬 수 있는 내열ㆍ내식성 소재(핵연료 피복관, 증기발생기 세관(340℃ㆍ150기압의 1차 냉각수 및 300℃ㆍ50기압의 2차 냉각수 노출 가능), 원자로 내부 구조물(중성자 조사 및 340℃ㆍ150기압의 1차 냉각수 노출 가능) 등)을 개발하는 기술"
newgrowth::14::다::3),newgrowth,에너지ㆍ환경,다. 원자력,3),방사선이용 대형 공정 시스템 검사기술,"철강 배관의 손상 진단 및 미세 결함 검출을 위한 와전류 자동 검사시스템 기술, X선 발생장치와 이리듐(Ir)-192 감마선 조사장치에 적합한 이동용 방사선투시 기술"
newgrowth::14::다::4),newgrowth,에너지ㆍ환경,다. 원자력,4),신형원전(Advanced Power Reactor) 표준설계 기술,"노심 및 핵연료 설계기술, 핵증기공급계통(NSSS, Nuclear Steam Supply System) 설계기술, 주기기 설계기술, 보조기기 및 플랜트종합(BOP, Balance of Plant) 설계기술, 원전제어계통(MMIS, Man-Machine Interface System) 설계기술, 안전성분석기술 등 APR+(Advanced Power Reactor Plus) 및 SMART(System-integrated Modular Advanced Reactor)의 표준설계기술 및 표준설계인가 획득 기술"
